Timestamp,SensorA,SensorB,SensorC,Status
Timestamp,SensorA,SensorB,SensorC,Status
2026-07-27 10:00:00,185,192,188,SAFE
Timestamp,SensorA,SensorB,SensorC,Status
2026-07-27 10:00:00,185,192,188,SAFE
2026-07-27 10:00:01,182,190,185,SAFE
2026-07-27 10:00:02,178,188,182,SAFE
2026-07-27 10:00:03,170,186,180,SAFE
2026-07-27 10:00:04,160,184,178,SAFE
2026-07-27 10:00:05,145,180,175,SAFE
2026-07-27 10:00:06,120,178,172,SAFE
2026-07-27 10:00:07,95,176,170,WARNING
2026-07-27 10:00:08,70,175,168,WARNING
2026-07-27 10:00:09,48,174,165,DANGER
2026-07-27 10:00:10,30,173,163,DANGER
2026-07-27 10:00:11,18,172,162,DANGER
2026-07-27 10:00:12,25,172,162,DANGER
2026-07-27 10:00:13,40,173,163,DANGER
2026-07-27 10:00:14,60,175,165,WARNING
2026-07-27 10:00:15,82,176,168,WARNING
2026-07-27 10:00:16,110,178,170,SAFE
2026-07-27 10:00:17,140,180,172,SAFE
2026-07-27 10:00:18,165,182,175,SAFE
2026-07-27 10:00:19,185,185,178,SAFE
2026-07-27 10:00:20,188,180,150,SAFE
2026-07-27 10:00:21,188,170,120,SAFE
2026-07-27 10:00:22,188,150,90,WARNING
2026-07-27 10:00:23,188,120,70,WARNING
2026-07-27 10:00:24,188,90,48,DANGER
2026-07-27 10:00:25,188,60,32,DANGER
2026-07-27 10:00:26,188,40,20,DANGER
2026-07-27 10:00:27,188,55,30,DANGER
2026-07-27 10:00:28,188,75,45,DANGER
2026-07-27 10:00:29,188,95,60,WARNING
2026-07-27 10:00:30,188,120,80,WARNING
2026-07-27 10:00:31,188,150,110,SAFE
2026-07-27 10:00:32,188,175,140,SAFE
2026-07-27 10:00:33,188,185,170,SAFE
2026-07-27 10:00:34,188,188,188,SAFE
2026-07-27 10:00:35,180,185,185,SAFE
2026-07-27 10:00:36,175,180,180,SAFE
2026-07-27 10:00:37,170,175,175,SAFE
2026-07-27 10:00:38,165,170,170,SAFE
2026-07-27 10:00:39,160,165,165,SAFE
2026-07-27 10:00:40,155,160,120,SAFE
2026-07-27 10:00:41,150,158,90,WARNING
2026-07-27 10:00:42,148,156,70,WARNING
2026-07-27 10:00:43,145,154,48,DANGER
2026-07-27 10:00:44,142,152,35,DANGER
2026-07-27 10:00:45,140,150,18,DANGER
2026-07-27 10:00:46,142,152,28,DANGER
2026-07-27 10:00:47,145,154,42,DANGER
2026-07-27 10:00:48,150,156,60,WARNING
2026-07-27 10:00:49,155,160,90,WARNING
2026-07-27 10:00:50,160,165,120,SAFE
2026-07-27 10:00:51,165,170,145,SAFE
2026-07-27 10:00:52,170,175,170,SAFE
2026-07-27 10:00:53,175,180,180,SAFE
2026-07-27 10:00:54,180,185,185,SAFE
2026-07-27 10:00:55,45,185,185,DANGER
2026-07-27 10:00:56,40,180,180,DANGER
2026-07-27 10:00:57,35,175,175,DANGER
2026-07-27 10:00:58,30,170,170,DANGER
2026-07-27 10:00:59,45,165,165,DANGER
2026-07-27 10:01:00,65,160,160,WARNING
2026-07-27 10:01:01,90,160,160,WARNING
2026-07-27 10:01:02,120,165,165,SAFE
2026-07-27 10:01:03,150,170,170,SAFE
2026-07-27 10:01:04,180,180,180,SAFE
2026-07-27 10:01:05,180,180,180,SAFE
2026-07-27 10:01:06,175,175,175,SAFE
2026-07-27 10:01:07,170,170,170,SAFE
2026-07-27 10:01:08,160,160,160,SAFE
2026-07-27 10:01:09,150,150,150,SAFE
2026-07-27 10:01:10,120,120,120,SAFE
2026-07-27 10:01:11,95,95,95,WARNING
2026-07-27 10:01:12,80,85,80,WARNING
2026-07-27 10:01:13,60,60,60,WARNING
2026-07-27 10:01:14,45,45,45,DANGER
2026-07-27 10:01:15,35,40,35,DANGER
2026-07-27 10:01:16,25,30,25,DANGER
2026-07-27 10:01:17,18,22,18,DANGER
2026-07-27 10:01:18,25,30,25,DANGER
2026-07-27 10:01:19,35,40,35,DANGER
2026-07-27 10:01:20,50,60,50,WARNING
2026-07-27 10:01:21,75,85,75,WARNING
2026-07-27 10:01:22,110,120,110,SAFE
2026-07-27 10:01:23,140,145,140,SAFE
2026-07-27 10:01:24,170,175,170,SAFE
2026-07-27 10:01:25,180,180,180,SAFE
2026-07-27 10:01:26,185,185,185,SAFE
2026-07-27 10:01:27,190,188,190,SAFE
2026-07-27 10:01:28,188,186,188,SAFE
2026-07-27 10:01:29,185,185,185,SAFE
2026-07-27 10:01:30,182,182,182,SAFE
2026-07-27 10:01:31,180,180,180,SAFE
2026-07-27 10:01:32,178,178,178,SAFE
2026-07-27 10:01:33,12,175,175,DANGER
2026-07-27 10:01:34,170,170,170,SAFE
2026-07-27 10:01:35,5,165,165,DANGER

